Test node index	True parents	Predicted parents	macro_mr	micro_mr	hit_at_1	hit_at_3	mrr_scaled_10
geneva drive	computer hardware	operating system, artificial intelligence, computer hardware, lever, telecommunications	3.0	3.0	0.0	1.0	1.0
μ recursive function	computable function, primitive recursive function, μ operator	programming language, super recursive algorithm, nspace, algorithm, artificial intelligence	41.0	41.0	0.0	0.0	0.24999999999999997
eye finding	artificial intelligence, computer vision	retinal detachment, retinoschisis, congenital nystagmus, eye movement, oscillopsia	62.5	62.5	0.0	0.0	0.15555555555555556
needs analysis	human computer interaction	knowledge management, computer science, library science, artificial intelligence, multimedia	16.0	16.0	0.0	0.0	0.5
termite inspired robots	artificial intelligence	robot, artificial intelligence situated approach, artificial intelligence, robotics, mobile robot	3.0	3.0	0.0	1.0	1.0
tetrabothrus	lomechusini	operating system, lomechusini, key, tiger beetle, turtle	2.0	2.0	0.0	1.0	1.0
kolmogorov space	lp space, sequence space, interpolation space, complete metric space	initial topology, extension topology, comparison of topologies, banach space, sequence space	11.25	11.25	0.0	0.0	0.75
plant	actuator	actuator, variable structure control, fuzzy control system, sliding mode control, quantitative feedback theory	1.0	1.0	1.0	1.0	1.0
cheyletiella yasguri	smiley	artificial intelligence, turtle, turtle, operating system, adventure	1215.0	1215.0	0.0	0.0	0.00819672131147541
stored program computer	computer hardware, programming language, operating system	computer science, artificial intelligence, programming language, operating system, computer hardware	3.0	3.0	0.0	1.0	1.0
rutgers alcohol problem index	human factors and ergonomics	human factors and ergonomics, confirmatory factor analysis, moderation, multivariate analysis, trait	1.0	1.0	1.0	1.0	1.0
exponential search	incremental heuristic search, jump search	artificial intelligence, computer science, data mining, machine learning, algorithm	337.0	337.0	0.0	0.0	0.25757575757575757
teleprinter	computer hardware, operating system, telecommunications	operating system, telecommunications, computer hardware, programming language, artificial intelligence	1.0	1.0	1.0	1.0	1.0
basebean	artificial intelligence, programming language, machine learning	programming language, relational model, database, object, relational calculus	17.666666666666668	17.666666666666668	0.3333333333333333	0.3333333333333333	0.5555555555555555
pc sc	java card	operating system, embedded system, computer hardware, multos, openpgp card	12.0	12.0	0.0	0.0	0.5
parapsychological phenomena	paranormal, parapsychology	artificial intelligence, fantasy, computer science, extrasensory perception, paranormal	17.0	17.0	0.0	0.0	0.6666666666666666
computer interpretation	artificial intelligence	artificial intelligence, computer science, computer vision, machine learning, data mining	1.0	1.0	1.0	1.0	1.0
armstrong s axioms	dependency theory	multivalued dependency, relational model, inference, relational calculus, fuzzy set	31.0	31.0	0.0	0.0	0.25
hlsl2glsl	real time computer graphics	computer graphics images, animation, software rendering, computer facial animation, real time computer graphics	5.0	5.0	0.0	0.0	1.0
anomalistic psychology	paranormal, parapsychology	fantasy, artificial intelligence, psychic, telepathy, paranormal	7.5	7.5	0.0	0.0	1.0
system time	real time computing, computer hardware	operating system, computer hardware, real time computing, embedded system, computer science	2.0	2.0	0.0	1.0	1.0
digital storytelling	multimedia, world wide web	multimedia, library science, artificial intelligence, computer science, human computer interaction	5.0	5.0	0.5	0.5	1.0
wedge bonding	wire bonding	printed circuit board, cable gland, fanout cable, actuator, composite number	19.0	19.0	0.0	0.0	0.5
negentropy	independent component analysis	artificial intelligence, machine learning, computer science, pattern recognition, filter	41.0	41.0	0.0	0.0	0.2
border shape	artificial intelligence, computer vision	mathematical morphology, feature detection, projection, computer vision, voxel	7.5	7.5	0.0	0.0	0.75
datagram delivery protocol	computer network, computer security	internet protocol control protocol, computer network, reverse address resolution protocol, operating system, internet protocol suite	48.5	48.5	0.0	0.5	0.55
multimedia fugacity model	risk assessment	factorial experiment, response surface methodology, simulation, crash, central composite design	7.0	7.0	0.0	0.0	1.0
angle of view	artificial intelligence, computer vision	artificial intelligence, computer vision, computer science, operating system, computer graphics images	1.0	1.0	1.0	1.0	1.0
q systems	programming language, natural language processing	operator, operator algebra, initial topology, hilbert space, finite rank operator	430.0	430.0	0.0	0.0	0.5058139534883721
web commerce	the internet	artificial intelligence, computer science, world wide web, operating system, the internet	5.0	5.0	0.0	0.0	1.0
optical communications repeater	fiber optic splitter	telecommunications, transmitter, wavelength division multiplexing, passive optical network, multiplexing	11.0	11.0	0.0	0.0	0.5
hamming scheme	hamming code	binary tree, hamming code, linear code, algorithm, computational complexity theory	2.0	2.0	0.0	1.0	1.0
higher order modulation	phase shift keying, quadrature amplitude modulation	telecommunications, channel, orthogonal frequency division multiplexing, multiplexing, bandwidth	13.0	13.0	0.0	0.0	0.5
vertical bar	programming language, operating system	artificial intelligence, operating system, programming language, computer science, telecommunications	2.0	2.0	0.0	1.0	1.0
power law index profile	telecommunications	optical fiber, graded index fiber, dispersion shifted fiber, plastic optical fiber, fiber laser	20.0	20.0	0.0	0.0	0.5
pre play attack	denial of service attack	computer security, s key, password, challenge response authentication, one time password	38.0	38.0	0.0	0.0	0.25
k server problem	competitive analysis	operating system, artificial intelligence, computer science, real time computing, algorithm	229.0	229.0	0.0	0.0	0.043478260869565216
ws federation active requestor profile	authentication	operating system, computer security, world wide web, lightweight directory access protocol, authorization	12.0	12.0	0.0	0.0	0.5
translation memory	computer assisted translation	artificial intelligence, natural language processing, computer science, machine translation, programming language	100.0	100.0	0.0	0.0	0.1
ras syndrome	operating system	artificial intelligence, computer science, operating system, hsl and hsv, telecommunications	3.0	3.0	0.0	1.0	1.0
public services network	services computing	telecommunications, operating system, computer network, internet access, computer science	197.0	197.0	0.0	0.0	0.05
l reduction	continuous optimization	algorithm, artificial intelligence, linear programming, computational complexity theory, computer science	118.0	118.0	0.0	0.0	0.08333333333333333
injury disorder	human factors and ergonomics	human factors and ergonomics, suicide attempt, suicidal ideation, suicide risk, victimology	1.0	1.0	1.0	1.0	1.0
hadamard regularization	dimensional regularization	fourier integral operator, hilbert space, operator, regularization, dirac spinor	123.0	123.0	0.0	0.0	0.07692307692307693
xml transformation language	xml encryption, xml signature	document type definition, sgml, xml encryption, xml signature, efficient xml interchange	3.0	3.0	0.0	1.0	1.0
uucp	unix	operating system, programming language, computer network, computer science, unix	5.0	5.0	0.0	0.0	1.0
bent function	cryptography, boolean function	algorithm, programming language, ternary operation, normal basis, operator	23.0	23.0	0.0	0.0	0.41666666666666663
bird vocalization	pattern recognition, artificial intelligence, speech recognition	artificial intelligence, speech recognition, operating system, computer science, alarm signal	2.3333333333333335	2.3333333333333335	0.6666666666666666	0.6666666666666666	1.0
iso iec 29119	software engineering, operating system	software development process, software quality, software engineering, arinc 661, software development	23.0	23.0	0.0	0.5	0.6
myrmecina nipponica	ant	ant, artificial intelligence, temnothorax, cardiocondyla, operating system	1.0	1.0	1.0	1.0	1.0
electronic signatures in global and national commerce act	digital signature	computer security, telecommunications, electronic signature, internet privacy, invoice	86.0	86.0	0.0	0.0	0.1111111111111111
hang	programming language, operating system	operating system, artificial intelligence, programming language, computer science, computer hardware	1.5	1.5	0.5	1.0	1.0
littlewood paley theory	operator	fourier integral operator, hilbert space, operator, banach space, lp space	3.0	3.0	0.0	1.0	1.0
sparse ruler	data compression ratio	artificial intelligence, least squares, computer science, filter, computer vision	208.0	208.0	0.0	0.0	0.047619047619047616
x ray vision	artificial intelligence, computer vision	artificial intelligence, computer vision, augmented reality, virtual reality, operating system	1.0	1.0	1.0	1.0	1.0
winner take all	artificial neural network	artificial intelligence, machine learning, artificial neural network, computer science, pattern recognition	3.0	3.0	0.0	1.0	1.0
signal lamp	telecommunications	artificial intelligence, operating system, computer hardware, embedded system, computer vision	6.0	6.0	0.0	0.0	1.0
chinese speech synthesis	speech technology, speech corpus	speech recognition, artificial intelligence, speech synthesis, vowel, speech processing	37.5	37.5	0.0	0.0	0.5714285714285714
desensitation	telecommunications	telecommunications, modulation, transmitter, artificial intelligence, frequency modulation	1.0	1.0	1.0	1.0	1.0
poisson wavelet	wavelet packet decomposition, discrete wavelet transform	discrete wavelet transform, wavelet packet decomposition, operator, wavelet transform, artificial intelligence	1.0	1.0	1.0	1.0	1.0
g 704	telecommunications, computer network	computer hardware, embedded system, operating system, telecommunications, cable gland	5.0	5.0	0.0	0.0	1.0
essential spectrum	operator	operator, hilbert space, fourier integral operator, compact operator, dirac spinor	1.0	1.0	1.0	1.0	1.0
artificial reality	computer mediated reality	artificial intelligence, robot, virtual reality, operating system, mobile robot	39.0	39.0	0.0	0.0	0.25
dispersed knowledge	knowledge management	artificial intelligence, computer science, knowledge management, machine learning, data mining	3.0	3.0	0.0	1.0	1.0
folding camping trailer	trailer	fork, sheave, rope, rack, operating system	6.0	6.0	0.0	0.0	1.0
seadatanet	data management, metadata	multivariate interpolation, spatial analysis, computer science, geospatial analysis, watershed	39.0	39.0	0.0	0.0	0.225
group dynamic game	experiential learning	observational learning, human factors and ergonomics, experiential learning, knowledge management, embodied cognition	3.0	3.0	0.0	1.0	1.0
rf switch	antenna, radio frequency	embedded system, cmos, telecommunications, computer hardware, dbm	13.0	13.0	0.0	0.0	0.75
malayemys macrocephala	turtle	turtle, turtle, falcon, operating system, chelidae	2.0	2.0	0.0	1.0	1.0
real ram	model of computation	algorithm, computer science, programming language, parallel computing, artificial intelligence	124.0	124.0	0.0	0.0	0.07692307692307693
blog network	the internet, social network	social network, complex network, computer science, social media, the internet	2.5	2.5	0.5	0.5	1.0
user network interface	network interface, integrated services digital network, asynchronous transfer mode	computer network, operating system, telecommunications, ethernet over sdh, network packet	142.0	142.0	0.0	0.0	0.22380952380952382
peirce s law	programming language	paraconsistent logic, predicate, predicate functor logic, zeroth order logic, normal modal logic	9.0	9.0	0.0	0.0	1.0
board support package	software, booting	operating system, embedded system, software, real time computing, computer architecture	28.0	28.0	0.0	0.5	0.5833333333333334
modaf	enterprise architecture framework	enterprise architecture framework, software development process, software engineering, reference architecture, component based software engineering	1.0	1.0	1.0	1.0	1.0
skype security	computer security	operating system, computer security, the internet, computer network, computer science	2.0	2.0	0.0	1.0	1.0
super earth	circumstellar habitable zone	exoplanet, kepler 69c, planetary system, planetary mass, stars	8.0	8.0	0.0	0.0	1.0
pubcookie	world wide web, computer security	world wide web, the internet, computer security, operating system, authentication	1.5	1.5	0.5	1.0	1.0
łukasiewicz logic	substructural logic	fuzzy logic, artificial intelligence, boolean algebra, programming language, fuzzy number	93.0	93.0	0.0	0.0	0.1
technical debt	software quality	computer science, software engineering, software quality, software development process, software construction	3.0	3.0	0.0	1.0	1.0
processor supplementary capability	parallel computing, operating system	computer hardware, operating system, embedded system, digital signal processing, computer data storage	25.5	25.5	0.0	0.5	0.6
schema evolution	semi structured model	database schema, database, relational database, sparql, database model	6.0	6.0	0.0	0.0	1.0
supporting hyperplane	hyperplane	artificial intelligence, convex metric space, algorithm, euclidean shortest path, embedding	8.0	8.0	0.0	0.0	1.0
lcp array	compressed suffix array, generalized suffix tree	suffix tree, merge sort, insertion sort, programming language, double hashing	22.5	22.5	0.0	0.0	0.375
false light	privacy laws of the united states	confidentiality, intellectual property, internet privacy, computer security, trademark	105.0	105.0	0.0	0.0	0.09090909090909091
belady s anomaly	programming language, operating system	operating system, computer science, real time computing, file system fragmentation, computer hardware	5.5	5.5	0.5	0.5	1.0
nitroquinolines	nitro	selectivity, nitro, volatile, linker, dbm	2.0	2.0	0.0	1.0	1.0
xul	user interface, xml	user interface, programming language, graphical user interface testing, operating system, user interface design	15.0	15.0	0.5	0.5	0.6666666666666666
high speed link	real time computing, computer network	operating system, computer hardware, telecommunications, channel, bandwidth	7.0	7.0	0.0	0.0	1.0
hardware obfuscation	reverse engineering	computer science, embedded system, operating system, logic gate, real time computing	677.0	677.0	0.0	0.0	0.014705882352941176
real time charging	real time computing, telecommunications, computer network	customer service assurance, computer network, operating system, service provider, real time computing	7.666666666666667	7.666666666666667	0.0	0.3333333333333333	0.8333333333333334
bokeh	artificial intelligence, computer vision	computer vision, artificial intelligence, computer graphics images, depth of field, pixel	1.0	1.0	1.0	1.0	1.0
time item	artificial intelligence	library science, world wide web, information retrieval, computer science, database	6.0	6.0	0.0	0.0	1.0
mobile business development	mobile technology, mobile search, mobile web	e commerce, customer service assurance, service provider, service design, online advertising	60.333333333333336	60.333333333333336	0.0	0.0	0.4666666666666666
rp process	nucleosynthesis	nucleosynthesis, white dwarf, stellar evolution, stars, binary star	1.0	1.0	1.0	1.0	1.0
prolog syntax and semantics	artificial intelligence, programming language	programming language, l attributed grammar, functional programming, functional logic programming, lisp	39.5	39.5	0.5	0.5	0.5625
medical scribe	documentation	documentation, human factors and ergonomics, computer science, multimedia, operating system	1.0	1.0	1.0	1.0	1.0
ntruencrypt	cryptosystem	cryptosystem, cryptography, elliptic curve cryptography, cryptanalysis, differential cryptanalysis	1.0	1.0	1.0	1.0	1.0
harris chain	markov property, variable order markov model, balance equation	markov chain, markov property, markov model, phase type distribution, law of total probability	8.0	8.0	0.0	0.3333333333333333	0.8333333333333334
nvsram	computer memory, memory refresh, sense amplifier, registered memory	semiconductor memory, non volatile memory, flash memory, static random access memory, sense amplifier	27.5	27.5	0.0	0.0	0.4458333333333333
titan	supercomputer	parallel computing, supercomputer, operating system, computer science, programming language	2.0	2.0	0.0	1.0	1.0
inotify	openzfs, squashfs	operating system, real time computing, unix, computer hardware, windows vista	195.0	195.0	0.0	0.0	0.05333333333333333
rapid speech	intelligibility	artificial intelligence, speech recognition, vowel, pronunciation, syllable	9.0	9.0	0.0	0.0	1.0
environmental technology laboratory	microwave	microwave radiometer, advanced microwave sounding unit, brightness temperature, liquid water content, cloud height	39.0	39.0	0.0	0.0	0.25
history finding	library science	library science, citation analysis, science citation index, citation, chicana o studies	1.0	1.0	1.0	1.0	1.0
cell computing	distributed computing, operating system	cybernetics, computer science, artificial intelligence, cellular automaton, complex systems	45.0	45.0	0.0	0.0	0.23809523809523808
log periodic antenna	antenna efficiency, coaxial antenna, periscope antenna, antenna factor, antenna aperture	telecommunications, antenna, antenna measurement, antenna factor, dipole antenna	7.6	7.6	0.0	0.0	0.8
resnet	deep learning, convolutional neural network	composite number, phaeocystis, phaeocystis pouchetii, gyrodinium aureolum, chrysochromulina polylepis	5825.5	5825.5	0.0	0.0	0.0018665975097091885
hsv encephalitis	hsl and hsv	hsl and hsv, retinoschisis, epileptic encephalopathy, retinal detachment, x linked retinoschisis	1.0	1.0	1.0	1.0	1.0
bengali phonology	bengali	vowel, consonant, syllable, diphthong, mid vowel	21.0	21.0	0.0	0.0	0.3333333333333333
gaussian pyramid	pattern recognition, artificial intelligence, computer vision	artificial intelligence, computer vision, feature detection, segmentation, image texture	2.6666666666666665	2.6666666666666665	0.6666666666666666	0.6666666666666666	1.0
solid state drive	flash memory	operating system, computer data storage, computer hardware, semiconductor memory, virtual memory	6.0	6.0	0.0	0.0	1.0
optical disc drive	optical disc	operating system, computer hardware, artificial intelligence, embedded system, telecommunications	9.0	9.0	0.0	0.0	1.0
well formed formula	propositional variable, zeroth order logic, autoepistemic logic	programming language, artificial intelligence, higher order logic, fuzzy logic, zeroth order logic	12.0	12.0	0.0	0.0	0.6666666666666666
cisco hdlc	enhanced interior gateway routing protocol, wi fi array, routing table	operating system, computer network, embedded system, ethernet, distributed computing	125.66666666666667	125.66666666666667	0.0	0.0	0.07980769230769232
hypersonic effect	electroencephalography	artificial intelligence, speech recognition, loudness, binaural recording, telecommunications	27.0	27.0	0.0	0.0	0.3333333333333333
process driven development	business process model and notation, software development process, business activity monitoring, applications of uml, uml tool, business process discovery	applications of uml, software development process, uml tool, unified modeling language, class diagram	29.666666666666668	29.666666666666668	0.5	0.5	0.7138888888888889
bio2rdf	sparql	ontology based data integration, ontology, sparql, social semantic web, semantic search	3.0	3.0	0.0	1.0	1.0
spectral regrowth	nonlinear distortion, predistortion	modulation, telecommunications, bandwidth, transmitter, pulse amplitude modulation	49.5	49.5	0.0	0.0	0.19642857142857142
public drunkenness	human factors and ergonomics	human factors and ergonomics, operating system, artificial intelligence, crash, computer security	1.0	1.0	1.0	1.0	1.0
reference noise	noise measurement	artificial intelligence, gaussian noise, butterworth filter, filter, noise reduction	10.0	10.0	0.0	0.0	1.0
emtp	transmission line	transmission line, digital protective relay, real time computing, waveform, embedded system	1.0	1.0	1.0	1.0	1.0
arnoldi iteration	generalized minimal residual method	computational science, nonlinear conjugate gradient method, regularization, interpolation, computation	111.0	111.0	0.0	0.0	0.08333333333333333
convergence problem	convergence	artificial intelligence, algorithm, computer science, convergence, machine learning	4.0	4.0	0.0	0.0	1.0
ieee 802 11r 2008	ieee 802 11	wi fi array, computer network, wi fi, wireless network, ieee 802 11	5.0	5.0	0.0	0.0	1.0
dalbulus quinquenotatus	brachymyrmex	ant, artificial intelligence, myrmecophily, lasius, monomorium	116.0	116.0	0.0	0.0	0.08333333333333333
stanford dragon	computer graphics images	artificial intelligence, machine learning, computer vision, computer science, pattern recognition	126.0	126.0	0.0	0.0	0.07692307692307693
post processor	computer hardware	artificial intelligence, operating system, computer hardware, programming language, computer science	3.0	3.0	0.0	1.0	1.0
specification	machine learning	artificial intelligence, computer science, operating system, machine learning, programming language	4.0	4.0	0.0	0.0	1.0
feelix growing	artificial intelligence	artificial intelligence, robot learning, robot, brain computer interface, deep learning	1.0	1.0	1.0	1.0	1.0
tiled rendering	software rendering	software rendering, rendering, computer graphics images, operating system, shader	1.0	1.0	1.0	1.0	1.0
normal colour	colour vision	colour vision, color vision, trichromacy, artificial intelligence, hue	1.0	1.0	1.0	1.0	1.0
webometrics	data mining, world wide web	world wide web, library science, computer science, artificial intelligence, information retrieval	4.5	4.5	0.5	0.5	1.0
cache oblivious algorithm	cache pollution, page cache, cache coloring, cache invalidation	parallel computing, cache coloring, data structure, interleaved memory, merge sort	12.25	12.25	0.0	0.25	0.7083333333333334
definite clause grammar	extended affix grammar, tree adjoining grammar, l attributed grammar	programming language, syntax, semantics, parsing, l attributed grammar	6.333333333333333	6.333333333333333	0.0	0.0	1.0
bubble curtain	bubble	telecommunications, operating system, artificial intelligence, bubble, computer hardware	4.0	4.0	0.0	0.0	1.0
metric time	artificial intelligence	operating system, computer science, artificial intelligence, programming language, real time computing	3.0	3.0	0.0	1.0	1.0
packet crafting	computer network, computer security	burst switching, network packet, computer network, tcp global synchronization, zeta tcp	26.5	26.5	0.0	0.5	0.6
imaginary element	programming language	programming language, artificial intelligence, operator, computer science, computational science	1.0	1.0	1.0	1.0	1.0
version vector	distributed computing	operating system, computer science, real time computing, distributed computing, programming language	4.0	4.0	0.0	0.0	1.0
scale factor	programming language, operating system	operating system, computer science, computer hardware, programming language, artificial intelligence	2.0	2.0	0.5	1.0	1.0
turbo pascal	programming language, operating system	programming language, operating system, computer science, artificial intelligence, software	1.0	1.0	1.0	1.0	1.0
vme extensions for instrumentation	pci extensions for instrumentation	embedded system, integrated modular avionics, operating system, arinc 661, software	122.0	122.0	0.0	0.0	0.07692307692307693
physical unclonable function	authentication	computer security, cryptography, operating system, computer science, embedded system	12.0	12.0	0.0	0.0	0.5
dolichoderus thoracicus	conopomorpha cramerella	ant, myrmecophily, artificial intelligence, arboriculture, lasius	286.0	286.0	0.0	0.0	0.034482758620689655
device control register	embedded system, computer hardware, operating system	computer hardware, embedded system, operating system, serial communication, serial port	1.0	1.0	1.0	1.0	1.0
key wrap	disk encryption, symmetric key algorithm, link encryption, 56 bit encryption, deterministic encryption, filesystem level encryption, key distribution, disk encryption theory	computer security, cryptography, encryption, public key cryptography, authentication	30.25	30.25	0.0	0.0	0.38244047619047616
exploratory search	search engine	artificial intelligence, world wide web, search analytics, information retrieval, search engine	5.0	5.0	0.0	0.0	1.0
optical power budget	fiber optic splitter, passive optical network	telecommunications, wavelength division multiplexing, computer network, passive optical network, multiplexing	5.0	5.0	0.0	0.0	1.0
dos memory management	extended memory	operating system, computer hardware, embedded system, unix, programming language	15.0	15.0	0.0	0.0	0.5
quicktime animation	operating system	smacker video, uncompressed video, operating system, computer hardware, computer graphics images	3.0	3.0	0.0	1.0	1.0
volume table of contents	computer data storage	unix file types, file control block, operating system, stub file, file system fragmentation	34.0	34.0	0.0	0.0	0.25
archival science	library science	library science, computer science, cataloging, world wide web, artificial intelligence	1.0	1.0	1.0	1.0	1.0
maximum spacing estimation	bayesian linear regression	regression analysis, linear regression, multivariate normal distribution, generalized linear model, artificial intelligence	14.0	14.0	0.0	0.0	0.5
surgical fasteners	cartridge	prosthesis, artificial intelligence, cable gland, computer hardware, plunger	6.0	6.0	0.0	0.0	1.0
supertalk	programming language	strictfp, lisp, programming language, python, coffeescript	3.0	3.0	0.0	1.0	1.0
type of service	computer network, computer security	operating system, computer network, telecommunications, computer science, real time computing	6.0	6.0	0.0	0.5	1.0
secure state	operating system, computer security	computer security, computer science, information security, operating system, authentication	2.0	2.0	0.5	1.0	1.0
counter automaton	timed automaton, pushdown automaton, deterministic automaton	programming language, two way deterministic finite automaton, regular language, buchi automaton, finite state machine	64.0	64.0	0.0	0.0	0.24444444444444444
space partitioning	artificial intelligence, programming language	artificial intelligence, computer science, spatial analysis, operating system, database	3.0	3.0	0.5	0.5	1.0
8 bit clean	programming language, operating system	operating system, programming language, bitstream format, unicode, computer hardware	1.0	1.0	1.0	1.0	1.0
omega network	multistage interconnection networks	distributed computing, computer network, ring network, parallel computing, network topology	214.0	214.0	0.0	0.0	0.045454545454545456
characteristic mode analysis	antenna	antenna, dipole antenna, coaxial antenna, antenna factor, microstrip antenna	1.0	1.0	1.0	1.0	1.0
getopt	programming language, operating system	programming language, operating system, lisp, strictfp, python	1.0	1.0	1.0	1.0	1.0
piece table	computer hardware, programming language	programming language, database, operating system, indexed file, computer hardware	2.5	2.5	0.5	0.5	1.0
shepp logan phantom	reconstruction algorithm	artificial intelligence, iterative reconstruction, computer vision, reconstruction algorithm, image processing	4.0	4.0	0.0	0.0	1.0
programmed input output	direct memory access, data transmission, channel	operating system, embedded system, computer hardware, real time computing, computer architecture	299.6666666666667	299.6666666666667	0.0	0.0	0.03299962921764924
rock s law	embedded system	operating system, embedded system, artificial intelligence, computer science, computer hardware	2.0	2.0	0.0	1.0	1.0
packbits	tunstall coding, adaptive coding, texture compression, data compression ratio	computer graphics images, computer science, lossless compression, data compression ratio, artificial intelligence	17.5	17.5	0.0	0.0	0.5416666666666666
common channel signaling	channel	computer network, telecommunications, operating system, real time computing, distributed computing	11.0	11.0	0.0	0.0	0.5
the map library	library science, world wide web	artificial intelligence, database, computer science, operating system, data mining	17.0	17.0	0.0	0.0	0.6666666666666666
cross interleaved reed solomon coding	operating system	concatenated error correction code, reed solomon error correction, operating system, decoding methods, computer hardware	3.0	3.0	0.0	1.0	1.0
z order curve	skip list	artificial intelligence, database, computer science, operating system, algorithm	1410.0	1410.0	0.0	0.0	0.0070921985815602835
web template system	programming language, world wide web	dynamic web page, html, web page, xhtml, static web page	8.0	8.0	0.0	0.0	1.0
thermal time scale	roche lobe	stellar mass loss, stars, stellar evolution, nucleosynthesis, bubble	226.0	226.0	0.0	0.0	0.043478260869565216
hamming graph	hamming code	binary tree, segment tree, suurballe s algorithm, k ary tree, euclidean shortest path	16.0	16.0	0.0	0.0	0.5
intel ct	parallel computing, operating system	supercomputer, intel ipsc, parallel computing, red storm, distributed memory	44.5	44.5	0.0	0.5	0.5555555555555556
presentation timestamp	residual frame	streams, operating system, computer hardware, memory buffer register, bitstream format	116.0	116.0	0.0	0.0	0.08333333333333333
database dump	source code	database, information retrieval, data mining, computer science, operating system	30.0	30.0	0.0	0.0	0.3333333333333333
hosting environment	distributed computing, database, operating system	operating system, computer security, computer network, computer science, real time computing	14.666666666666666	14.666666666666666	0.3333333333333333	0.3333333333333333	0.75
closed world assumption	semantics	artificial intelligence, ontology, semantics, programming language, inference	3.0	3.0	0.0	1.0	1.0
pl360	programming domain	programming language, interpreter, procedural programming, lisp, compiler	14.0	14.0	0.0	0.0	0.5
telechrome	telecommunications	artificial intelligence, telecommunications, operating system, computer graphics images, computer hardware	2.0	2.0	0.0	1.0	1.0
static library	programming language, operating system	programming language, operating system, software, java, computer science	1.0	1.0	1.0	1.0	1.0
bisection bandwidth	bandwidth, scalability, latency, interconnection, data center, throughput, network topology	parallel computing, distributed computing, computer network, operating system, ring network	30.0	30.0	0.0	0.0	0.5561224489795918
sat ip	telecommunications, computer network	telecommunications, computer network, operating system, digital video broadcasting, broadcasting	1.0	1.0	1.0	1.0	1.0
argument from fallacy	programming language	artificial intelligence, occam s razor, inference, possible world, machine learning	26.0	26.0	0.0	0.0	0.3333333333333333
generalized spike wave discharges	ictal, idiopathic generalized epilepsy	electroencephalography, ictal, magnetoencephalography, slow wave sleep, non rapid eye movement sleep	10.5	10.5	0.0	0.5	0.75
staring array	pixel	artificial intelligence, computer hardware, computer vision, image sensor, telecommunications	7.0	7.0	0.0	0.0	1.0
bandwidth allocation	bandwidth, quality of service	computer network, network packet, quality of service, distributed computing, throughput	6.5	6.5	0.0	0.5	1.0
internet governance	the internet	computer security, operating system, computer science, the internet, telecommunications	4.0	4.0	0.0	0.0	1.0
carrier routing system	telecommunications, computer network	computer network, operating system, metro ethernet, connection oriented ethernet, ethernet over sdh	3.0	3.0	0.5	0.5	1.0
euphorbia origanoides	telecommunications	panama, arboriculture, falcon, arborist, tiger beetle	20.0	20.0	0.0	0.0	0.5
formica lugubris	ant	ant, crematogaster, monomorium, myrmecophily, myrmica	1.0	1.0	1.0	1.0	1.0
scaffold evaluation	scaffold	scaffold, composite number, demineralized bone matrix, shape memory alloy, tissue scaffolds	1.0	1.0	1.0	1.0	1.0
ddr3 sdram	memory controller	embedded system, operating system, computer hardware, semiconductor memory, real time computing	10.0	10.0	0.0	0.0	1.0
ant robotics	robot control, swarm robotics	artificial intelligence, mobile robot, swarm robotics, motion planning, robot	4.0	4.0	0.0	0.5	1.0
ultrasound transmission tomography	iterative reconstruction	artificial intelligence, computer vision, iterative reconstruction, image processing, optical tomography	3.0	3.0	0.0	1.0	1.0
lotka s law	bibliometrics	computer science, library science, artificial intelligence, data science, citation analysis	17.0	17.0	0.0	0.0	0.5
w x	programming language, operating system	gist, hsl and hsv, operating system, turtle, x linked retinoschisis	5.0	5.0	0.0	0.5	1.0
post imperative negative variation	contingent negative variation	electroencephalography, slow wave sleep, event related potential, non rapid eye movement sleep, contingent negative variation	5.0	5.0	0.0	0.0	1.0
line art	artificial intelligence, computer vision, computer graphics images	artificial intelligence, computer graphics images, computer vision, animation, computer graphics	1.0	1.0	1.0	1.0	1.0
rate adaptive digital subscriber line	telecommunications	telecommunications, operating system, telephony, computer hardware, computer network	1.0	1.0	1.0	1.0	1.0
plasma lamp	microwave	microwave, telecommunications, radio frequency, optical fiber, artificial intelligence	1.0	1.0	1.0	1.0	1.0
femto	femtocell	telecommunications, artificial intelligence, operating system, wireless, computer science	277.0	277.0	0.0	0.0	0.03571428571428571
extended data services	composite video	telecommunications, operating system, computer hardware, artificial intelligence, broadcasting	49.0	49.0	0.0	0.0	0.2
boustrophedon	mobile robot, motion planning	artificial intelligence, programming language, computer science, operating system, algorithm	668.0	668.0	0.0	0.0	0.015338827838827838
saville	computer security	artificial intelligence, computer science, operating system, programming language, library science	7.0	7.0	0.0	0.0	1.0
rhex	robot control	robot, robotics, robot control, artificial intelligence, mobile robot	3.0	3.0	0.0	1.0	1.0
positioning technology	global positioning system	artificial intelligence, operating system, telecommunications, wireless, embedded system	14.0	14.0	0.0	0.0	0.5
distributed interactive simulation	distributed computing, simulation, computer network	computer science, operating system, simulation, software engineering, real time computing	9.666666666666666	9.666666666666666	0.0	0.3333333333333333	0.7777777777777778
hip joint structure	robot	prosthesis, robot, artificial intelligence, humanoid robot, robot kinematics	2.0	2.0	0.0	1.0	1.0
supercomputer education research centre	real time computing, distributed computing, parallel computing	computer science, operating system, programming language, real time computing, artificial intelligence	4.666666666666667	4.666666666666667	0.0	0.0	1.0
logical topology	network topology	distributed computing, ring network, computer network, path computation element, network topology	5.0	5.0	0.0	0.0	1.0
